Tree Richness - Medium quality 1 (Ground Cover),,,,,,,,,,
,,,,,,,,,,
Benchmark richness:,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
5,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),6,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,4,1,95,0,4,,,0,4
20,1,4,2,95,1,4,,,1,4
40,1,5,2.5,90,1,5,,,1,5
60,1,6,3,80,1,6,,,1,6
Comment (optional),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,4,1,95,0,4,,,0,4
20,1,5,2,95,1,5,,,1,5
40,1,5.5,2.5,90,1,6,,,1,6
60,1,6,4,80,1,6,,,1,6
Comment (optional),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,4,1,95,0,4,,,0,4
20,1,5,4.5,95,1,5,,,1,5
40,2,5.5,5,90,2,6,,,2,6
60,3,6,5,80,3,6,,,3,6
Comment (optional),changed rise from linear to curvilinear with faster increase early on,,,,,,,,,
