Tree Richness - Low site quality,,,,,,,,,,
,,,,,,,,,,
Benchmark Richness,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
5,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),6,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,2,1,95,0,2,,,0,2
20,0,2,1,80,0,2,,,0,2
40,0,2,1,60,0,3,,,-1,3
60,0,1,1,50,0,1,,,-1,1
Comment (optional),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,2,1,95,0,2,,,0,2
20,1,4,2,80,1,4,,,1,4
40,1,4,2,70,1,5,,,1,5
60,2,5,3,60,2,6,,,2,6
Comment (optional),species diversity will increase through slow colonisation,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,2,1,95,0,2,,,0,2
20,3,6,5,90,3,6,,,3,6
40,4,7,5,80,4,6,,,4,7
60,5,8,6,70,5,6,,,5,9
Comment (optional),active restoration plantings are likely and required in the scenario,,,,,,,,,
