Grass & grass-like richness - Medium quality 1 (Ground Cover),,,,,,,,,,
,,,,,,,,,,
Benchmark richness:,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
12,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),20,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,7,12,9,95,7,12,,,7,12
20,7,12,9,70,6,13,,,6,13
40,6,12,8,60,5,14,,,5,14
60,5,12,7,50,3,16,,,3,16
Comment (optional),site likely to have been in similar condition state decline for an extended period.,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,7,12,9,95,7,12,,,7,12
20,7,14,11.5,80,6,14,,,6,14
40,8,16,12.2,70,7,17,,,7,17
60,9,20,12.8,60,7,20,,,7,24
Comment (optional),Grass and grasslike species are more likely to respond to basic mgt inputs,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,7,12,9,95,7,12,,,7,12
20,10,20,14,80,10,20,,,10,21
40,10,20,12,70,9,20,,,9,22
60,10,20,14.5,60,8,20,,,8,23
Comment (optional),"Curve of species diversity is likely to reflect an increase in canopy initially, then a change in composition from a sun loving to a shade tolerant complex of taxa",,,,,,,,,
