Tree cover - Low site quality,,,,,,,,,,
Benchmark cover: to be elicited,,,,,,,,,,
Benchmark cover,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),80,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,5,2,95,0,5,,,0,5
20,0,5,2,95,0,5,,,0,5
40,0,5,2,95,0,5,,,0,5
60,0,5,2,95,0,5,,,0,5
Comment (optional),"Landscape scale decline of trees is well documented in both unmanaged (for NRM) and intensively managed (for NRM) sites across the cumberland plain. This is offset by natural recruitment on native pasture, but such recruitment is very rarely observed on exotic pastures where canopy is typically remnant from before intervention. Land management (slashing, grazing) further reduces this",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,5,2,95,0,5,,,0,5
20,0,10,2,95,0,10,,,0,10
40,0,20,2,95,0,19,,,0,19
60,0,30,2,95,0,29,,,0,29
Comment (optional),See above. Low intensity management does not incorporate revegetation,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,0,5,2,95,0,5,,,0,5
20,3,6,6,85,3,6,,,3,6
40,3,6,6,85,3,6,,,3,6
60,0,2,1,85,0,2,,,0,2
Comment (optional),Revegetation can increase cover however observion is that this generally declines over time where native groundcovers are not prevalent,,,,,,,,,
