Tree Richness - Medium quality 2 (Canopy),,,,,,,,,,
,,,,,,,,,,
Benchmark richness:,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
5,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),6,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,1,4,3,95,1,4,,,1,4
20,1,4,3,90,1,4,,,1,4
40,2,4,3,80,2,4,,,2,4
60,2,5,4,70,1,5,,,1,5
Comment (optional),"""locked stand"" entry of new spp largely prevented by dense canopy & grazing some chance of stochastic colonisation in future",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,1,4,3,95,1,4,,,1,4
20,2,4,3.5,90,2,4,,,2,4
40,3,5,4,80,3,5,,,3,5
60,3,6,4,70,3,6,,,3,7
Comment (optional),partial removal of olive allows some colonisation by bird dispersal,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,1,4,3,95,1,4,,,1,4
20,4,7,5,90,4,6,,,4,7
40,4,7,5,80,4,6,,,4,7
60,4,6,4.5,70,4,6,,,4,6
Comment (optional),"planting should restore diversity, overplanting and some attition are risks",,,,,,,,,
