Tree Richness - Medium quality 1 (Ground Cover),,,,,,,,,,
,,,,,,,,,,
Benchmark richness:,Lower Bound,Upper Bound,Best Estimate,Confidence (%) 50-100,90% CI (LB),90% CI (UB),Uppermost Bound,,,
5,Indicate the lowest realistic value for each time step,Indicate the highest realistic value for each time step,Provide your best estimate of the value for each time step,"How confident are you that your interval, from lowest to highest, would capture the true value)",90% upper confidence interval (automatically caculated),90% lower confidence interval (automatically caculated),6,,,
,,,,,,,,,,
Management scenario: Typical private land activities,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,1,4,2,95,1,4,,,1,4
20,2,5,4,95,2,5,,,2,5
40,3,5,4,80,3,5,,,3,5
60,2,6,5,70,1,6,,,1,6
Comment (optional),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: Low intensity management,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,1,4,2,95,1,4,,,1,4
20,2,3,4,95,2,5,,,2,5
40,2,4,3,80,2,4,,,2,4
60,3,5,4,70,3,5,,,3,5
Comment (optional),Based on natural recuitment ,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Management scenario: High intensity management ,,,,,,,,,,
Year,Lower Bound,Upper Bound,Best Estimate,Confidence 50-100 (%),90% CI (LB),90% CI (UB),,,90% CI (LB) RAW,90% CI (UB) RAW
0,1,4,2,95,1,4,,,1,4
20,5,6,4,80,3,6,,,3,6
40,4,8,5,70,4,6,,,4,9
60,3,5,4,60,3,6,,,3,6
Comment (optional),Limted planting of tree type species to supp natural recruitment ,,,,,,,,,
